Case_ID,Activity,Timestamp,CO2_Impact,Activity_Cost,Role
EMP00016,Training Module 1,2021-01-21 16:03:32,0.27,76.45,New Hire
EMP00016,Training Module 2,2021-01-27 19:03:32,0.9,427.88,New Hire
EMP00016,Welcome Package Distribution,2021-02-03 02:03:32,0.96,305.73,HR Manager
EMP00016,Feedback Collection,2021-02-09 05:03:32,0.47,71.67,HR Manager
EMP00017,First Week Check-in,2020-10-04 01:35:33,1.21,95.07,HR Manager
EMP00017,Introduction Session,2020-10-08 01:35:33,1.32,419.98,HR Manager
EMP00017,Complete Documentation,2020-10-11 11:35:33,1.76,153.64,New Hire
EMP00017,IT Setup,2020-10-12 22:35:33,1.02,386.03,IT Staff
EMP00017,Training Module 1,2020-10-22 23:35:33,1.72,349.72,New Hire
EMP00017,Training Module 2,2020-10-27 23:35:33,1.74,462.43,New Hire
EMP00017,Welcome Package Distribution,2020-11-09 11:35:33,1.08,369.52,HR Manager
EMP00017,Feedback Collection,2020-11-24 18:35:33,1.3,485.83,HR Manager
EMP00018,First Week Check-in,2020-02-14 15:13:02,0.9,467.39,HR Manager
EMP00018,Introduction Session,2020-02-25 22:13:02,0.21,280.64,HR Manager
EMP00018,Complete Documentation,2020-03-08 23:13:02,1.11,247.22,New Hire
EMP00018,IT Setup,2020-03-21 05:13:02,0.15,163.05,IT Staff
EMP00018,Training Module 1,2020-04-01 14:13:02,0.59,102.66,New Hire
EMP00018,Training Module 2,2020-04-16 01:13:02,0.87,87.74,New Hire
EMP00018,Welcome Package Distribution,2020-04-30 06:13:02,0.52,108.67,HR Manager
EMP00018,Feedback Collection,2020-05-07 12:13:02,1.51,255.13,HR Manager
EMP00019,First Week Check-in,2020-02-27 18:46:14,1.04,202.54,HR Manager
EMP00019,Introduction Session,2020-03-03 03:46:14,1.38,170.55,HR Manager
EMP00019,Complete Documentation,2020-03-13 13:46:14,1.97,154.25,New Hire
EMP00019,IT Setup,2020-03-27 00:46:14,1.49,336.3,IT Staff
EMP00019,Training Module 1,2020-03-29 05:46:14,0.74,427.25,New Hire
EMP00019,Training Module 2,2020-04-02 11:46:14,0.93,340.26,New Hire
EMP00019,Welcome Package Distribution,2020-04-09 21:46:14,1.85,302.75,HR Manager
EMP00019,Feedback Collection,2020-04-17 07:46:14,0.16,415.91,HR Manager
EMP00020,First Week Check-in,2020-07-14 19:47:03,1.26,275.24,HR Manager
EMP00020,Introduction Session,2020-07-27 19:47:03,1.63,353.39,HR Manager
EMP00020,Complete Documentation,2020-08-11 01:47:03,0.87,408.59,New Hire
EMP00020,IT Setup,2020-08-18 09:47:03,1.88,68.99,IT Staff
EMP00020,Training Module 1,2020-08-19 19:47:03,0.79,147.31,New Hire
EMP00020,Training Module 2,2020-08-29 23:47:03,0.86,72.84,New Hire
EMP00020,Welcome Package Distribution,2020-09-07 01:47:03,0.11,369.98,HR Manager
EMP00020,Feedback Collection,2020-09-18 05:47:03,0.99,495.89,HR Manager
EMP00021,First Week Check-in,2020-12-18 01:45:41,0.95,275.64,HR Manager
EMP00021,Introduction Session,2020-12-20 01:45:41,0.77,487.31,HR Manager
EMP00021,Complete Documentation,2021-01-04 04:45:41,0.37,207.75,New Hire
EMP00021,IT Setup,2021-01-19 12:45:41,1.13,104.9,IT Staff
EMP00021,Training Module 1,2021-02-02 22:45:41,0.36,118.41,New Hire
EMP00021,Training Module 2,2021-02-04 02:45:41,0.36,426.62,New Hire
EMP00021,Welcome Package Distribution,2021-02-08 12:45:41,1.91,218.33,HR Manager
EMP00021,Feedback Collection,2021-02-21 16:45:41,1.67,418.86,HR Manager
EMP00022,First Week Check-in,2020-02-26 20:26:42,0.13,221.18,HR Manager
EMP00022,Introduction Session,2020-02-29 01:26:42,1.61,396.75,HR Manager
EMP00022,Complete Documentation,2020-03-12 09:26:42,0.49,378.05,New Hire
EMP00022,IT Setup,2020-03-27 21:26:42,0.7,206.79,IT Staff
EMP00022,Training Module 1,2020-03-29 00:26:42,1.76,402.68,New Hire
EMP00022,Training Module 2,2020-03-30 05:26:42,1.05,327.17,New Hire
EMP00022,Welcome Package Distribution,2020-04-05 06:26:42,1.17,226.34,HR Manager
EMP00022,Feedback Collection,2020-04-20 18:26:42,1.16,470.14,HR Manager
EMP00023,First Week Check-in,2020-09-11 14:39:02,1.25,146.97,HR Manager
EMP00023,Introduction Session,2020-09-25 17:39:02,0.11,374.1,HR Manager
EMP00023,Complete Documentation,2020-09-28 03:39:02,0.86,409.59,New Hire
EMP00023,IT Setup,2020-10-12 13:39:02,1.85,299.05,IT Staff
EMP00023,Training Module 1,2020-10-27 15:39:02,0.27,252.15,New Hire
EMP00023,Training Module 2,2020-11-10 16:39:02,0.13,348.55,New Hire
EMP00023,Welcome Package Distribution,2020-11-12 16:39:02,0.58,257.26,HR Manager
EMP00023,Feedback Collection,2020-11-23 17:39:02,1.4,352.48,HR Manager
EMP00024,First Week Check-in,2020-07-20 18:50:10,0.52,148.63,HR Manager
EMP00024,Introduction Session,2020-07-23 03:50:10,1.02,258.66,HR Manager
EMP00024,Complete Documentation,2020-07-27 14:50:10,0.75,173.78,New Hire
EMP00024,IT Setup,2020-08-10 14:50:10,0.37,342.28,IT Staff
EMP00024,Training Module 1,2020-08-12 21:50:10,1.03,261.74,New Hire
EMP00024,Training Module 2,2020-08-23 04:50:10,0.18,125.81,New Hire
EMP00024,Welcome Package Distribution,2020-09-02 12:50:10,1.5,223.88,HR Manager
EMP00024,Feedback Collection,2020-09-17 00:50:10,1.89,318.41,HR Manager
EMP00025,First Week Check-in,2020-11-01 16:06:42,1.58,211.21,HR Manager
EMP00025,Introduction Session,2020-11-14 18:06:42,1.01,407.01,HR Manager
EMP00025,Complete Documentation,2020-11-18 18:06:42,0.42,356.2,New Hire
EMP00025,IT Setup,2020-11-25 23:06:42,1.05,339.82,IT Staff
EMP00025,Training Module 1,2020-12-08 01:06:42,0.26,392.32,New Hire
EMP00025,Training Module 2,2020-12-19 01:06:42,0.46,184.55,New Hire
EMP00025,Welcome Package Distribution,2021-01-02 12:06:42,1.48,261.4,HR Manager
EMP00025,Feedback Collection,2021-01-13 15:06:42,0.82,397.82,HR Manager
EMP00026,First Week Check-in,2020-06-17 22:08:50,1.11,154.3,HR Manager
EMP00026,Introduction Session,2020-06-26 08:08:50,0.61,103.49,HR Manager
EMP00026,Complete Documentation,2020-06-28 14:08:50,1.04,254.83,New Hire
EMP00026,IT Setup,2020-07-03 00:08:50,0.94,376.82,IT Staff
EMP00026,Training Module 1,2020-07-17 09:08:50,1.04,293.28,New Hire
EMP00026,Training Module 2,2020-07-31 18:08:50,1.71,262.78,New Hire
EMP00026,Welcome Package Distribution,2020-08-13 20:08:50,1.52,289.95,HR Manager
EMP00026,Feedback Collection,2020-08-18 02:08:50,1.19,263.6,HR Manager
EMP00027,First Week Check-in,2020-02-22 03:30:36,1.8,208.36,HR Manager
EMP00027,Introduction Session,2020-02-26 04:30:36,1.72,471.67,HR Manager
EMP00027,Complete Documentation,2020-02-29 15:30:36,0.48,241.41,New Hire
EMP00027,IT Setup,2020-03-04 23:30:36,0.96,447.11,IT Staff
EMP00027,Training Module 1,2020-03-15 04:30:36,1.22,311.05,New Hire
EMP00027,Training Module 2,2020-03-17 15:30:36,1.75,383.0,New Hire
EMP00027,Welcome Package Distribution,2020-03-18 16:30:36,1.16,78.01,HR Manager
EMP00027,Feedback Collection,2020-03-28 22:30:36,1.07,310.23,HR Manager
EMP00028,First Week Check-in,2020-09-04 16:27:16,1.34,188.51,HR Manager
EMP00028,Introduction Session,2020-09-11 22:27:16,1.73,199.73,HR Manager
EMP00028,Complete Documentation,2020-09-18 00:27:16,1.77,108.23,New Hire
EMP00028,IT Setup,2020-09-29 08:27:16,0.36,218.62,IT Staff
EMP00028,Training Module 1,2020-10-02 15:27:16,1.2,243.98,New Hire
EMP00028,Training Module 2,2020-10-04 01:27:16,1.84,231.02,New Hire
EMP00028,Welcome Package Distribution,2020-10-08 06:27:16,0.7,235.49,HR Manager
EMP00028,Feedback Collection,2020-10-09 08:27:16,1.51,216.9,HR Manager
EMP00029,First Week Check-in,2020-10-21 18:47:28,1.63,377.41,HR Manager
EMP00029,Introduction Session,2020-10-26 21:47:28,1.45,112.41,HR Manager
EMP00029,Complete Documentation,2020-11-09 07:47:28,1.41,304.28,New Hire
EMP00029,IT Setup,2020-11-20 14:47:28,1.64,258.74,IT Staff
EMP00029,Training Module 1,2020-11-28 20:47:28,0.61,126.59,New Hire
EMP00029,Training Module 2,2020-12-12 04:47:28,0.55,217.75,New Hire
EMP00029,Welcome Package Distribution,2020-12-27 16:47:28,1.37,435.51,HR Manager
EMP00029,Feedback Collection,2021-01-12 03:47:28,1.19,304.14,HR Manager
EMP00030,First Week Check-in,2020-01-28 20:46:24,1.39,332.96,HR Manager
EMP00030,Introduction Session,2020-02-05 08:46:24,1.93,315.19,HR Manager
EMP00030,Complete Documentation,2020-02-13 19:46:24,0.82,299.31,New Hire
EMP00030,IT Setup,2020-02-26 06:46:24,0.52,344.25,IT Staff
EMP00030,Training Module 1,2020-03-01 11:46:24,1.07,311.91,New Hire
EMP00030,Training Module 2,2020-03-12 12:46:24,1.63,387.78,New Hire
EMP00030,Welcome Package Distribution,2020-03-13 14:46:24,0.49,130.1,HR Manager
EMP00030,Feedback Collection,2020-03-25 00:46:24,0.3,351.02,HR Manager
EMP00031,First Week Check-in,2020-05-27 18:29:02,0.81,354.33,HR Manager
EMP00031,Introduction Session,2020-06-08 19:29:02,1.01,374.28,HR Manager
EMP00031,Complete Documentation,2020-06-19 06:29:02,0.58,462.44,New Hire
EMP00031,IT Setup,2020-06-27 08:29:02,0.25,373.45,IT Staff
EMP00031,Training Module 1,2020-07-01 17:29:02,1.13,310.85,New Hire
EMP00031,Training Module 2,2020-07-12 20:29:02,1.16,444.89,New Hire
EMP00031,Welcome Package Distribution,2020-07-25 03:29:02,0.34,147.6,HR Manager
EMP00031,Feedback Collection,2020-08-02 09:29:02,1.33,346.47,HR Manager
EMP00032,First Week Check-in,2020-04-08 00:21:23,1.92,427.26,HR Manager
EMP00032,Introduction Session,2020-04-13 00:21:23,0.59,151.03,HR Manager
EMP00032,Complete Documentation,2020-04-23 00:21:23,0.26,339.39,New Hire
EMP00032,IT Setup,2020-04-27 08:21:23,1.54,307.22,IT Staff
EMP00032,Training Module 1,2020-05-08 08:21:23,1.12,216.47,New Hire
EMP00032,Training Module 2,2020-05-17 11:21:23,1.6,219.05,New Hire
EMP00032,Welcome Package Distribution,2020-05-26 21:21:23,1.33,91.79,HR Manager
EMP00032,Feedback Collection,2020-06-05 09:21:23,1.61,251.2,HR Manager
EMP00033,First Week Check-in,2020-03-17 17:22:50,0.16,330.86,HR Manager
EMP00033,Introduction Session,2020-03-20 23:22:50,0.18,237.99,HR Manager
EMP00033,Complete Documentation,2020-03-22 11:22:50,1.12,375.6,New Hire
EMP00033,IT Setup,2020-03-28 17:22:50,0.77,433.53,IT Staff
EMP00033,Training Module 1,2020-04-05 19:22:50,0.59,150.05,New Hire
EMP00033,Training Module 2,2020-04-16 22:22:50,0.34,189.44,New Hire
EMP00033,Welcome Package Distribution,2020-04-22 03:22:50,1.13,190.46,HR Manager
EMP00033,Feedback Collection,2020-05-07 06:22:50,1.42,351.35,HR Manager
EMP00034,First Week Check-in,2020-02-04 16:23:54,0.96,369.39,HR Manager
EMP00034,Introduction Session,2020-02-15 20:23:54,0.73,128.0,HR Manager
EMP00034,Complete Documentation,2020-02-24 20:23:54,1.35,339.71,New Hire
EMP00034,IT Setup,2020-03-11 05:23:54,1.44,415.16,IT Staff
EMP00034,Training Module 1,2020-03-13 05:23:54,1.35,331.06,New Hire
EMP00034,Training Module 2,2020-03-18 11:23:54,0.2,478.88,New Hire
EMP00034,Welcome Package Distribution,2020-03-21 15:23:54,1.45,87.4,HR Manager
EMP00034,Feedback Collection,2020-03-29 19:23:54,1.28,308.82,HR Manager
EMP00035,First Week Check-in,2020-07-07 16:33:53,1.42,283.34,HR Manager
EMP00035,Introduction Session,2020-07-16 00:33:53,0.91,434.78,HR Manager
EMP00035,Complete Documentation,2020-07-24 07:33:53,0.47,420.38,New Hire
EMP00035,IT Setup,2020-07-29 10:33:53,0.19,478.88,IT Staff
EMP00035,Training Module 1,2020-08-09 21:33:53,1.85,310.46,New Hire
EMP00035,Training Module 2,2020-08-22 03:33:53,1.68,68.49,New Hire
EMP00035,Welcome Package Distribution,2020-09-03 06:33:53,1.11,63.34,HR Manager
EMP00035,Feedback Collection,2020-09-08 18:33:53,1.22,215.43,HR Manager
EMP00036,First Week Check-in,2020-07-25 17:09:14,0.71,86.63,HR Manager
EMP00036,Introduction Session,2020-07-28 04:09:14,0.92,148.1,HR Manager
EMP00036,Complete Documentation,2020-08-01 05:09:14,0.95,260.14,New Hire
EMP00036,IT Setup,2020-08-15 16:09:14,1.38,267.52,IT Staff
EMP00036,Training Module 1,2020-08-23 18:09:14,0.51,487.17,New Hire
EMP00036,Training Module 2,2020-09-05 00:09:14,1.2,475.55,New Hire
EMP00036,Welcome Package Distribution,2020-09-07 07:09:14,0.92,79.6,HR Manager
EMP00036,Feedback Collection,2020-09-15 07:09:14,1.29,81.89,HR Manager
EMP00037,First Week Check-in,2020-12-31 14:58:42,0.76,416.02,HR Manager
EMP00037,Introduction Session,2021-01-07 18:58:42,0.31,403.27,HR Manager
EMP00037,Complete Documentation,2021-01-09 18:58:42,0.98,62.8,New Hire
EMP00037,IT Setup,2021-01-14 22:58:42,0.48,370.72,IT Staff
EMP00037,Training Module 1,2021-01-26 08:58:42,0.55,116.39,New Hire
EMP00037,Training Module 2,2021-02-05 11:58:42,0.17,268.92,New Hire
EMP00037,Welcome Package Distribution,2021-02-09 12:58:42,0.12,342.45,HR Manager
EMP00037,Feedback Collection,2021-02-23 16:58:42,0.71,64.28,HR Manager
EMP00038,First Week Check-in,2020-09-06 09:50:36,0.36,54.23,HR Manager
EMP00038,Introduction Session,2020-09-07 12:50:36,1.78,303.59,HR Manager
EMP00038,Complete Documentation,2020-09-22 19:50:36,1.62,189.52,New Hire
EMP00038,IT Setup,2020-09-29 01:50:36,1.43,215.94,IT Staff
EMP00038,Training Module 1,2020-10-10 01:50:36,1.79,325.61,New Hire
EMP00038,Training Module 2,2020-10-14 05:50:36,1.44,276.26,New Hire
EMP00038,Welcome Package Distribution,2020-10-19 06:50:36,1.1,473.86,HR Manager
EMP00038,Feedback Collection,2020-10-24 06:50:36,1.91,424.41,HR Manager
EMP00039,First Week Check-in,2020-01-05 20:27:50,1.02,492.21,HR Manager
EMP00039,Introduction Session,2020-01-09 03:27:50,1.32,323.27,HR Manager
EMP00039,Complete Documentation,2020-01-20 14:27:50,1.98,349.99,New Hire
EMP00039,IT Setup,2020-01-24 23:27:50,1.95,489.07,IT Staff
EMP00039,Training Module 1,2020-02-05 00:27:50,1.6,229.26,New Hire
EMP00039,Training Module 2,2020-02-12 12:27:50,1.61,126.25,New Hire
EMP00039,Welcome Package Distribution,2020-02-23 22:27:50,1.12,92.14,HR Manager
EMP00039,Feedback Collection,2020-03-03 10:27:50,1.92,255.97,HR Manager
EMP00040,First Week Check-in,2020-05-24 21:57:50,0.93,487.06,HR Manager
EMP00040,Introduction Session,2020-06-08 04:57:50,0.74,330.54,HR Manager
EMP00040,Complete Documentation,2020-06-22 08:57:50,0.44,52.58,New Hire
EMP00040,IT Setup,2020-06-26 12:57:50,1.21,90.1,IT Staff
EMP00040,Training Module 1,2020-07-05 20:57:50,0.65,308.49,New Hire
EMP00040,Training Module 2,2020-07-08 01:57:50,0.41,379.76,New Hire
EMP00040,Welcome Package Distribution,2020-07-09 11:57:50,2.0,112.28,HR Manager
EMP00040,Feedback Collection,2020-07-22 16:57:50,1.3,83.83,HR Manager
EMP00041,First Week Check-in,2020-03-17 00:01:54,1.6,158.69,HR Manager
EMP00041,Introduction Session,2020-03-30 11:01:54,1.37,433.72,HR Manager
EMP00041,Complete Documentation,2020-04-04 16:01:54,1.29,410.61,New Hire
EMP00041,IT Setup,2020-04-10 17:01:54,1.35,282.65,IT Staff
EMP00041,Training Module 1,2020-04-20 02:01:54,1.24,202.46,New Hire
EMP00041,Training Module 2,2020-04-27 06:01:54,1.94,104.64,New Hire
EMP00041,Welcome Package Distribution,2020-05-07 06:01:54,1.73,222.9,HR Manager
EMP00041,Feedback Collection,2020-05-15 10:01:54,0.99,360.63,HR Manager
EMP00042,First Week Check-in,2020-04-03 13:38:02,0.72,217.48,HR Manager
EMP00042,Introduction Session,2020-04-07 00:38:02,1.62,248.78,HR Manager
EMP00042,Complete Documentation,2020-04-17 03:38:02,1.81,173.51,New Hire
EMP00042,IT Setup,2020-04-26 09:38:02,1.42,345.0,IT Staff
EMP00042,Training Module 1,2020-04-27 11:38:02,0.53,70.73,New Hire
EMP00042,Training Module 2,2020-05-10 15:38:02,0.85,144.64,New Hire
EMP00042,Welcome Package Distribution,2020-05-13 15:38:02,1.06,65.68,HR Manager
EMP00042,Feedback Collection,2020-05-18 03:38:02,1.68,401.78,HR Manager
EMP00043,First Week Check-in,2020-10-30 15:12:22,0.93,264.59,HR Manager
EMP00043,Introduction Session,2020-11-10 16:12:22,0.81,240.34,HR Manager
EMP00043,Complete Documentation,2020-11-23 18:12:22,0.69,417.66,New Hire
EMP00043,IT Setup,2020-11-24 18:12:22,1.09,450.06,IT Staff
EMP00043,Training Module 1,2020-12-03 02:12:22,0.22,319.76,New Hire
EMP00043,Training Module 2,2020-12-09 09:12:22,0.9,430.86,New Hire
EMP00043,Welcome Package Distribution,2020-12-14 15:12:22,1.48,227.6,HR Manager
EMP00043,Feedback Collection,2020-12-18 16:12:22,1.0,234.45,HR Manager
EMP00044,First Week Check-in,2020-05-14 16:51:02,1.04,287.95,HR Manager
