event_id,object_id,object_type,activity,timestamp,actor,event_type,department,related_objects,co2_impact,activity_cost
EV_00052,EMP0009,Employee,IT Setup,2020-07-16 08:33:56,IT_Tech2,Equipment.Assigned,Operations,Equipment:LAPTOP_EMP0009|Equipment:PHONE_EMP0009|Equipment:MONITOR_EMP0009,1.08,426.18
EV_00053,EMP0009,Employee,Training Module 1,2020-07-17 19:33:56,Trainer_C,Training.Session,Operations,TrainingModule:MOD_001,1.6,449.82
EV_00054,EMP0009,Employee,Training Module 2,2020-07-26 05:33:56,Trainer_D,Training.Session,Operations,TrainingModule:MOD_002,1.9,423.88
EV_00055,EMP0010,Employee,First Week Check-in,2024-12-31 21:40:23,Trainer_C,Employee.FirstWeekMeeting,Engineering,Department:Engineering,0.96,87.14
EV_00056,EMP0010,Employee,Introduction Session,2025-01-04 03:40:23,Trainer_B,Employee.Onboarding.Introduction,Engineering,Department:Engineering,1.8,115.1
EV_00057,EMP0010,Employee,Complete Documentation,2025-01-16 15:40:23,HR_Officer_2,Document.Processed,Engineering,DocumentPackage:DOC_EMP0010,1.32,84.08
EV_00058,EMP0010,Employee,IT Setup,2025-01-23 16:40:23,IT_Tech2,Equipment.Assigned,Engineering,Equipment:LAPTOP_EMP0010|Equipment:PHONE_EMP0010|Equipment:MONITOR_EMP0010,1.76,204.66
EV_00059,EMP0010,Employee,Training Module 1,2025-02-01 22:40:23,Trainer_B,Training.Session,Engineering,TrainingModule:MOD_001,0.97,407.78
EV_00060,EMP0010,Employee,Training Module 2,2025-02-04 03:40:23,Trainer_C,Training.Session,Engineering,TrainingModule:MOD_002,0.79,256.25
EV_00061,EMP0011,Employee,First Week Check-in,2020-01-19 12:53:19,Trainer_A,Employee.FirstWeekMeeting,Sales,Department:Sales,0.97,287.45
EV_00062,EMP0011,Employee,Introduction Session,2020-01-27 19:53:19,Trainer_B,Employee.Onboarding.Introduction,Sales,Department:Sales,1.3,130.23
EV_00063,EMP0011,Employee,Complete Documentation,2020-02-01 07:53:19,HR_Officer_1,Document.Processed,Sales,DocumentPackage:DOC_EMP0011,1.68,413.76
EV_00064,EMP0011,Employee,IT Setup,2020-02-11 18:53:19,IT_Tech1,Equipment.Assigned,Sales,Equipment:LAPTOP_EMP0011|Equipment:PHONE_EMP0011|Equipment:MONITOR_EMP0011,0.44,346.62
EV_00065,EMP0011,Employee,Training Module 1,2020-02-26 20:53:19,Trainer_D,Training.Session,Sales,TrainingModule:MOD_001,1.83,267.76
EV_00066,EMP0011,Employee,Training Module 2,2020-03-10 03:53:19,Trainer_D,Training.Session,Sales,TrainingModule:MOD_002,0.81,305.46
EV_00067,EMP0012,Employee,First Week Check-in,2022-02-21 19:19:08,Trainer_C,Employee.FirstWeekMeeting,HR,Department:HR,1.73,367.91
EV_00068,EMP0012,Employee,Introduction Session,2022-02-28 03:19:08,Trainer_B,Employee.Onboarding.Introduction,HR,Department:HR,1.71,261.01
EV_00069,EMP0012,Employee,Complete Documentation,2022-03-07 14:19:08,HR_Officer_2,Document.Processed,HR,DocumentPackage:DOC_EMP0012,1.65,92.1
EV_00070,EMP0012,Employee,IT Setup,2022-03-20 17:19:08,IT_Tech1,Equipment.Assigned,HR,Equipment:LAPTOP_EMP0012|Equipment:PHONE_EMP0012|Equipment:MONITOR_EMP0012,0.38,399.31
EV_00071,EMP0012,Employee,Training Module 1,2022-03-26 20:19:08,Trainer_B,Training.Session,HR,TrainingModule:MOD_001,1.76,458.83
EV_00072,EMP0012,Employee,Training Module 2,2022-04-04 08:19:08,Trainer_A,Training.Session,HR,TrainingModule:MOD_002,1.85,430.04
EV_00073,EMP0013,Employee,First Week Check-in,2022-02-08 19:08:22,Trainer_C,Employee.FirstWeekMeeting,Finance,Department:Finance,1.72,218.92
EV_00074,EMP0013,Employee,Introduction Session,2022-02-14 20:08:22,Trainer_D,Employee.Onboarding.Introduction,Finance,Department:Finance,0.35,102.52
EV_00075,EMP0013,Employee,Complete Documentation,2022-02-27 03:08:22,HR_Officer_2,Document.Processed,Finance,DocumentPackage:DOC_EMP0013,1.09,59.71
EV_00076,EMP0013,Employee,IT Setup,2022-03-13 08:08:22,IT_Tech1,Equipment.Assigned,Finance,Equipment:LAPTOP_EMP0013|Equipment:PHONE_EMP0013|Equipment:MONITOR_EMP0013,1.82,493.22
EV_00077,EMP0013,Employee,Training Module 1,2022-03-25 08:08:22,Trainer_B,Training.Session,Finance,TrainingModule:MOD_001,0.96,402.42
EV_00078,EMP0013,Employee,Training Module 2,2022-03-31 15:08:22,Trainer_C,Training.Session,Finance,TrainingModule:MOD_002,0.27,323.58
EV_00079,EMP0014,Employee,First Week Check-in,2024-04-25 02:00:42,Trainer_B,Employee.FirstWeekMeeting,Operations,Department:Operations,0.79,245.51
EV_00080,EMP0014,Employee,Introduction Session,2024-05-01 03:00:42,Trainer_D,Employee.Onboarding.Introduction,Operations,Department:Operations,0.95,226.79
EV_00081,EMP0014,Employee,Complete Documentation,2024-05-06 15:00:42,HR_Officer_2,Document.Processed,Operations,DocumentPackage:DOC_EMP0014,0.45,221.4
EV_00082,EMP0014,Employee,IT Setup,2024-05-13 02:00:42,IT_Tech3,Equipment.Assigned,Operations,Equipment:LAPTOP_EMP0014|Equipment:PHONE_EMP0014|Equipment:MONITOR_EMP0014,1.28,125.09
EV_00083,EMP0014,Employee,Training Module 1,2024-05-17 12:00:42,Trainer_D,Training.Session,Operations,TrainingModule:MOD_001,0.14,85.08
EV_00084,EMP0014,Employee,Training Module 2,2024-06-01 16:00:42,Trainer_B,Training.Session,Operations,TrainingModule:MOD_002,0.22,466.37
EV_00085,EMP0015,Employee,First Week Check-in,2022-02-19 19:03:14,Trainer_C,Employee.FirstWeekMeeting,Engineering,Department:Engineering,1.8,374.89
EV_00086,EMP0015,Employee,Introduction Session,2022-03-06 01:03:14,Trainer_B,Employee.Onboarding.Introduction,Engineering,Department:Engineering,0.88,196.12
EV_00087,EMP0015,Employee,Complete Documentation,2022-03-14 11:03:14,HR_Officer_1,Document.Processed,Engineering,DocumentPackage:DOC_EMP0015,0.76,294.1
EV_00088,EMP0015,Employee,IT Setup,2022-03-24 13:03:14,IT_Tech3,Equipment.Assigned,Engineering,Equipment:LAPTOP_EMP0015|Equipment:PHONE_EMP0015|Equipment:MONITOR_EMP0015,1.45,112.41
EV_00089,EMP0015,Employee,Training Module 1,2022-04-08 22:03:14,Trainer_C,Training.Session,Engineering,TrainingModule:MOD_001,1.59,458.6
EV_00090,EMP0015,Employee,Training Module 2,2022-04-12 08:03:14,Trainer_D,Training.Session,Engineering,TrainingModule:MOD_002,0.46,90.29
EV_00091,EMP0016,Employee,First Week Check-in,2022-03-24 15:25:55,Trainer_D,Employee.FirstWeekMeeting,Sales,Department:Sales,1.42,135.17
EV_00092,EMP0016,Employee,Introduction Session,2022-03-26 00:25:55,Trainer_C,Employee.Onboarding.Introduction,Sales,Department:Sales,1.91,250.37
EV_00093,EMP0016,Employee,Complete Documentation,2022-04-09 01:25:55,HR_Officer_1,Document.Processed,Sales,DocumentPackage:DOC_EMP0016,1.74,394.95
EV_00094,EMP0016,Employee,IT Setup,2022-04-10 12:25:55,IT_Tech1,Equipment.Assigned,Sales,Equipment:LAPTOP_EMP0016|Equipment:PHONE_EMP0016|Equipment:MONITOR_EMP0016,0.87,339.71
EV_00095,EMP0016,Employee,Training Module 1,2022-04-21 16:25:55,Trainer_D,Training.Session,Sales,TrainingModule:MOD_001,0.77,434.79
EV_00096,EMP0016,Employee,Training Module 2,2022-05-01 01:25:55,Trainer_A,Training.Session,Sales,TrainingModule:MOD_002,0.49,81.55
EV_00097,EMP0017,Employee,First Week Check-in,2020-07-18 00:05:39,Trainer_A,Employee.FirstWeekMeeting,HR,Department:HR,1.86,244.06
EV_00098,EMP0017,Employee,Introduction Session,2020-07-20 07:05:39,Trainer_A,Employee.Onboarding.Introduction,HR,Department:HR,0.24,419.89
EV_00099,EMP0017,Employee,Complete Documentation,2020-07-22 10:05:39,HR_Officer_1,Document.Processed,HR,DocumentPackage:DOC_EMP0017,0.51,416.28
EV_00100,EMP0017,Employee,IT Setup,2020-08-02 16:05:39,IT_Tech3,Equipment.Assigned,HR,Equipment:LAPTOP_EMP0017|Equipment:PHONE_EMP0017|Equipment:MONITOR_EMP0017,1.3,142.71
EV_00101,EMP0017,Employee,Training Module 1,2020-08-12 02:05:39,Trainer_B,Training.Session,HR,TrainingModule:MOD_001,1.84,112.36
EV_00102,EMP0017,Employee,Training Module 2,2020-08-18 14:05:39,Trainer_D,Training.Session,HR,TrainingModule:MOD_002,0.82,95.63
EV_00103,EMP0018,Employee,First Week Check-in,2022-04-25 01:37:06,Trainer_A,Employee.FirstWeekMeeting,Finance,Department:Finance,0.64,240.73
EV_00104,EMP0018,Employee,Introduction Session,2022-05-08 10:37:06,Trainer_D,Employee.Onboarding.Introduction,Finance,Department:Finance,0.59,95.57
EV_00105,EMP0018,Employee,Complete Documentation,2022-05-22 18:37:06,HR_Officer_2,Document.Processed,Finance,DocumentPackage:DOC_EMP0018,1.34,307.69
EV_00106,EMP0018,Employee,IT Setup,2022-06-05 03:37:06,IT_Tech3,Equipment.Assigned,Finance,Equipment:LAPTOP_EMP0018|Equipment:PHONE_EMP0018|Equipment:MONITOR_EMP0018,0.56,248.1
EV_00107,EMP0018,Employee,Training Module 1,2022-06-10 15:37:06,Trainer_D,Training.Session,Finance,TrainingModule:MOD_001,0.45,349.55
EV_00108,EMP0018,Employee,Training Module 2,2022-06-18 01:37:06,Trainer_C,Training.Session,Finance,TrainingModule:MOD_002,1.47,139.35
EV_00109,EMP0019,Employee,First Week Check-in,2022-04-29 16:58:50,Trainer_A,Employee.FirstWeekMeeting,Operations,Department:Operations,1.41,254.5
EV_00110,EMP0019,Employee,Introduction Session,2022-05-03 00:58:50,Trainer_A,Employee.Onboarding.Introduction,Operations,Department:Operations,0.13,468.67
EV_00111,EMP0019,Employee,Complete Documentation,2022-05-17 08:58:50,HR_Officer_2,Document.Processed,Operations,DocumentPackage:DOC_EMP0019,1.07,419.85
EV_00112,EMP0019,Employee,IT Setup,2022-06-01 20:58:50,IT_Tech3,Equipment.Assigned,Operations,Equipment:LAPTOP_EMP0019|Equipment:PHONE_EMP0019|Equipment:MONITOR_EMP0019,1.27,266.25
EV_00113,EMP0019,Employee,Training Module 1,2022-06-13 01:58:50,Trainer_C,Training.Session,Operations,TrainingModule:MOD_001,0.16,432.84
EV_00114,EMP0019,Employee,Training Module 2,2022-06-24 12:58:50,Trainer_A,Training.Session,Operations,TrainingModule:MOD_002,0.4,218.18
EV_00115,EMP0020,Employee,First Week Check-in,2021-05-21 18:18:25,Trainer_C,Employee.FirstWeekMeeting,Engineering,Department:Engineering,0.13,182.39
EV_00116,EMP0020,Employee,Introduction Session,2021-06-02 06:18:25,Trainer_D,Employee.Onboarding.Introduction,Engineering,Department:Engineering,1.76,170.15
EV_00117,EMP0020,Employee,Complete Documentation,2021-06-13 13:18:25,HR_Officer_1,Document.Processed,Engineering,DocumentPackage:DOC_EMP0020,1.39,331.3
EV_00118,EMP0020,Employee,IT Setup,2021-06-15 15:18:25,IT_Tech2,Equipment.Assigned,Engineering,Equipment:LAPTOP_EMP0020|Equipment:PHONE_EMP0020|Equipment:MONITOR_EMP0020,0.34,222.83
EV_00119,EMP0020,Employee,Training Module 1,2021-06-18 21:18:25,Trainer_A,Training.Session,Engineering,TrainingModule:MOD_001,0.77,222.27
EV_00120,EMP0020,Employee,Training Module 2,2021-06-26 07:18:25,Trainer_C,Training.Session,Engineering,TrainingModule:MOD_002,0.4,456.24
EV_00121,EMP0021,Employee,First Week Check-in,2022-05-10 01:10:23,Trainer_B,Employee.FirstWeekMeeting,Sales,Department:Sales,0.59,75.94
EV_00122,EMP0021,Employee,Introduction Session,2022-05-25 11:10:23,Trainer_A,Employee.Onboarding.Introduction,Sales,Department:Sales,0.6,72.0
EV_00123,EMP0021,Employee,Complete Documentation,2022-06-09 21:10:23,HR_Officer_2,Document.Processed,Sales,DocumentPackage:DOC_EMP0021,1.05,427.32
EV_00124,EMP0021,Employee,IT Setup,2022-06-12 01:10:23,IT_Tech3,Equipment.Assigned,Sales,Equipment:LAPTOP_EMP0021|Equipment:PHONE_EMP0021|Equipment:MONITOR_EMP0021,0.3,136.13
EV_00125,EMP0021,Employee,Training Module 1,2022-06-16 09:10:23,Trainer_B,Training.Session,Sales,TrainingModule:MOD_001,1.04,120.34
EV_00126,EMP0021,Employee,Training Module 2,2022-06-30 21:10:23,Trainer_B,Training.Session,Sales,TrainingModule:MOD_002,1.98,418.67
EV_00127,EMP0022,Employee,First Week Check-in,2020-04-08 21:56:18,Trainer_C,Employee.FirstWeekMeeting,HR,Department:HR,1.08,347.24
EV_00128,EMP0022,Employee,Introduction Session,2020-04-10 02:56:18,Trainer_B,Employee.Onboarding.Introduction,HR,Department:HR,1.29,473.12
EV_00129,EMP0022,Employee,Complete Documentation,2020-04-17 09:56:18,HR_Officer_1,Document.Processed,HR,DocumentPackage:DOC_EMP0022,1.61,417.22
EV_00130,EMP0022,Employee,IT Setup,2020-05-02 21:56:18,IT_Tech3,Equipment.Assigned,HR,Equipment:LAPTOP_EMP0022|Equipment:PHONE_EMP0022|Equipment:MONITOR_EMP0022,1.81,136.31
EV_00131,EMP0022,Employee,Training Module 1,2020-05-05 05:56:18,Trainer_C,Training.Session,HR,TrainingModule:MOD_001,1.43,266.67
EV_00132,EMP0022,Employee,Training Module 2,2020-05-17 08:56:18,Trainer_D,Training.Session,HR,TrainingModule:MOD_002,0.64,287.26
EV_00133,EMP0023,Employee,First Week Check-in,2024-07-28 10:07:03,Trainer_A,Employee.FirstWeekMeeting,Finance,Department:Finance,0.9,139.78
EV_00134,EMP0023,Employee,Introduction Session,2024-08-03 18:07:03,Trainer_A,Employee.Onboarding.Introduction,Finance,Department:Finance,0.92,325.33
EV_00135,EMP0023,Employee,Complete Documentation,2024-08-12 21:07:03,HR_Officer_2,Document.Processed,Finance,DocumentPackage:DOC_EMP0023,1.55,81.82
EV_00136,EMP0023,Employee,IT Setup,2024-08-19 02:07:03,IT_Tech2,Equipment.Assigned,Finance,Equipment:LAPTOP_EMP0023|Equipment:PHONE_EMP0023|Equipment:MONITOR_EMP0023,1.26,302.32
EV_00137,EMP0023,Employee,Training Module 1,2024-08-29 04:07:03,Trainer_B,Training.Session,Finance,TrainingModule:MOD_001,0.54,115.12
EV_00138,EMP0023,Employee,Training Module 2,2024-09-08 12:07:03,Trainer_A,Training.Session,Finance,TrainingModule:MOD_002,0.16,53.01
EV_00139,EMP0024,Employee,First Week Check-in,2023-07-20 14:30:08,Trainer_B,Employee.FirstWeekMeeting,Operations,Department:Operations,1.25,311.42
EV_00140,EMP0024,Employee,Introduction Session,2023-08-04 22:30:08,Trainer_A,Employee.Onboarding.Introduction,Operations,Department:Operations,1.17,479.64
EV_00141,EMP0024,Employee,Complete Documentation,2023-08-20 05:30:08,HR_Officer_1,Document.Processed,Operations,DocumentPackage:DOC_EMP0024,0.61,164.75
EV_00142,EMP0024,Employee,IT Setup,2023-08-22 17:30:08,IT_Tech3,Equipment.Assigned,Operations,Equipment:LAPTOP_EMP0024|Equipment:PHONE_EMP0024|Equipment:MONITOR_EMP0024,1.59,130.86
EV_00143,EMP0024,Employee,Training Module 1,2023-08-26 19:30:08,Trainer_D,Training.Session,Operations,TrainingModule:MOD_001,1.75,253.59
EV_00144,EMP0024,Employee,Training Module 2,2023-09-10 19:30:08,Trainer_A,Training.Session,Operations,TrainingModule:MOD_002,0.17,362.87
EV_00145,EMP0025,Employee,First Week Check-in,2023-02-11 18:53:49,Trainer_B,Employee.FirstWeekMeeting,Engineering,Department:Engineering,0.89,295.23
EV_00146,EMP0025,Employee,Introduction Session,2023-02-14 04:53:49,Trainer_B,Employee.Onboarding.Introduction,Engineering,Department:Engineering,0.84,255.2
EV_00147,EMP0025,Employee,Complete Documentation,2023-02-19 11:53:49,HR_Officer_2,Document.Processed,Engineering,DocumentPackage:DOC_EMP0025,0.82,450.88
EV_00148,EMP0025,Employee,IT Setup,2023-02-21 15:53:49,IT_Tech3,Equipment.Assigned,Engineering,Equipment:LAPTOP_EMP0025|Equipment:PHONE_EMP0025|Equipment:MONITOR_EMP0025,1.29,492.77
EV_00149,EMP0025,Employee,Training Module 1,2023-02-25 02:53:49,Trainer_B,Training.Session,Engineering,TrainingModule:MOD_001,0.54,340.19
EV_00150,EMP0025,Employee,Training Module 2,2023-02-26 09:53:49,Trainer_C,Training.Session,Engineering,TrainingModule:MOD_002,0.75,115.85
EV_00151,EMP0026,Employee,First Week Check-in,2021-09-29 23:59:04,Trainer_D,Employee.FirstWeekMeeting,Sales,Department:Sales,0.83,238.96
EV_00152,EMP0026,Employee,Introduction Session,2021-10-04 02:59:04,Trainer_B,Employee.Onboarding.Introduction,Sales,Department:Sales,1.12,319.59
EV_00153,EMP0026,Employee,Complete Documentation,2021-10-15 07:59:04,HR_Officer_1,Document.Processed,Sales,DocumentPackage:DOC_EMP0026,1.39,495.08
EV_00154,EMP0026,Employee,IT Setup,2021-10-30 15:59:04,IT_Tech3,Equipment.Assigned,Sales,Equipment:LAPTOP_EMP0026|Equipment:PHONE_EMP0026|Equipment:MONITOR_EMP0026,1.19,174.08
EV_00155,EMP0026,Employee,Training Module 1,2021-11-14 16:59:04,Trainer_C,Training.Session,Sales,TrainingModule:MOD_001,0.55,209.98
EV_00156,EMP0026,Employee,Training Module 2,2021-11-26 16:59:04,Trainer_D,Training.Session,Sales,TrainingModule:MOD_002,1.46,462.96
EV_00157,EMP0027,Employee,First Week Check-in,2024-10-04 15:08:35,Trainer_C,Employee.FirstWeekMeeting,HR,Department:HR,0.89,81.92
EV_00158,EMP0027,Employee,Introduction Session,2024-10-06 15:08:35,Trainer_D,Employee.Onboarding.Introduction,HR,Department:HR,0.84,391.4
EV_00159,EMP0027,Employee,Complete Documentation,2024-10-20 20:08:35,HR_Officer_2,Document.Processed,HR,DocumentPackage:DOC_EMP0027,0.7,477.56
EV_00160,EMP0027,Employee,IT Setup,2024-10-26 08:08:35,IT_Tech1,Equipment.Assigned,HR,Equipment:LAPTOP_EMP0027|Equipment:PHONE_EMP0027|Equipment:MONITOR_EMP0027,2.0,461.32
EV_00161,EMP0027,Employee,Training Module 1,2024-10-28 13:08:35,Trainer_B,Training.Session,HR,TrainingModule:MOD_001,0.93,404.16
EV_00162,EMP0027,Employee,Training Module 2,2024-11-09 21:08:35,Trainer_B,Training.Session,HR,TrainingModule:MOD_002,0.42,473.82
EV_00163,EMP0028,Employee,First Week Check-in,2021-07-23 00:42:37,Trainer_A,Employee.FirstWeekMeeting,Finance,Department:Finance,1.42,359.72
EV_00164,EMP0028,Employee,Introduction Session,2021-08-07 07:42:37,Trainer_C,Employee.Onboarding.Introduction,Finance,Department:Finance,0.89,485.35
EV_00165,EMP0028,Employee,Complete Documentation,2021-08-22 17:42:37,HR_Officer_1,Document.Processed,Finance,DocumentPackage:DOC_EMP0028,0.35,267.12
EV_00166,EMP0028,Employee,IT Setup,2021-09-04 02:42:37,IT_Tech3,Equipment.Assigned,Finance,Equipment:LAPTOP_EMP0028|Equipment:PHONE_EMP0028|Equipment:MONITOR_EMP0028,1.96,330.29
